Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol
19-06-2025 17.42,192.168.0.105,,224.0.0.22,,2
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,192.168.0.105,54298,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,54298,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.42,35.163.248.93,443,192.168.0.105,50193,TCP
19-06-2025 17.42,35.163.248.93,443,192.168.0.105,50193,TCP
19-06-2025 17.42,35.163.248.93,443,192.168.0.105,50193,TCP
19-06-2025 17.42,192.168.0.105,50193,35.163.248.93,443,TCP
19-06-2025 17.42,192.168.0.105,50193,35.163.248.93,443,TCP
19-06-2025 17.42,35.163.248.93,443,192.168.0.105,50193,TCP
19-06-2025 17.42,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.0.105,50194,35.163.248.93,443,TCP
19-06-2025 17.42,35.163.248.93,443,192.168.0.105,50194,TCP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,140.82.113.25,443,192.168.0.105,49991,TCP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,49991,140.82.113.25,443,TCP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,140.82.113.25,443,192.168.0.105,49991,TCP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,50868,192.168.0.1,53,UDP
19-06-2025 17.42,192.168.0.105,53713,192.168.0.1,53,UDP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.1,53,192.168.0.105,50868,UDP
19-06-2025 17.42,192.168.0.1,53,192.168.0.105,53713,UDP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
